Aachen	ɑː k eː n
Abbe	² a b ɛ
abbot	ˈa bː ɔ t
aboensisk	a b ʊ ˈɛ n s ɪ s k
abstinens	a bː s t ɪ ˈn ɛ nː s
abstinensbesvär	a bː s t ɪ ˈn ɛ nː s b e ˈs v æː r
accent	a kː ˈs ɛ nː t
accent	a kː ˈs a ŋː
acetylsalicylsyra	a s ɛ ˈt yː l s a l ɪ s yː l ˌs yː r a
ackja	ˈa k ˌj a
ackusativ	ˈa k ɵ s a t iː v
Adde	² a d ɛ
adel	ˈɑː d ɛ l
adelssläkt	ˈɒ̀ː d ə l s ‿ ˌs l ɛ kː t
ADHD	ɑː d eː ˈh oː d eː
adjektiv	a d j ɛ k t iː v
adjö	a ˈj øː
adjö	/ e n . w i k t i o n a r y . o r g
adla	ˈɑː d ˌl a
adlig	ˈɑ d ˌl ɪ ɡ
advent	a d ˈv ɛ n t
adventsljusstake	a d ² v ɛ n t s j ʉ̟ː s ˌs t ɑː k ɛ
advokat	a d v ʊ ˈk ɑː t
affrikata	a f r ɪ ˈk ɑː t a
affär	a ¹ f ɛː r
affär	/ e n . w i k t i o n a r y . o r g
affär	/ e n . w i k t i o n a r y . o r g
afse	² a f s ɛ
afse	/ e n . w i k t i o n a r y . o r g
afton	ˈa f t ɔ n
aftonfalk	a f t ɔ n ˈf a l k
aftonfalk	/ e n . w i k t i o n a r y . o r g
aggressiv	ˈa ɡ r ɛ s iː v
agna	a ŋ n a
Agneta	a ŋ ² n eː t a
agnosticism	a ɡ n ɔ s t ɪ s ˈɪ s m
agnostiker	a ˈɡː n ɔ sː t ɪ ˈk ɛ rː
aioli	a j ˈoː l ɪ
akaciames	a k ɑː s i j a ˈm eː s
akaciames	/ e n . w i k t i o n a r y . o r g
aktie	ˈa k t s ɪ ɛ
aktiebolag	ˈa k t s i ɛ . b ʊ ˌl ɑː ɡ
aktuell	a k t ɵ ˈɛ l
akut	a ˈk ʉː t
akut	/ e n . w i k t i o n a r y . o r g
akut	/ e n . w i k t i o n a r y . o r g
al	ɑː l
albatross	ˈa l b a t r ɔ s
albatross	ˈa l b a t ˌr ɔ s
albatross	ˌa l b a t ˈr ɔ s
Albert	¹ a l b æ ʈ
Albertina	a l b æ ² ʈ iː n a
Albin	¹ a l b ɪ n
aldrig	ˈa l d r i ɡ
alert	a ˈl æ ʈ
alert	/ e n . w i k t i o n a r y . o r g
alfabet	ˈa l f a ˌb eː t
alfabet	ˌa l . f a . ˈb ɛː t
alfabet	ˈɔ l f a b ɛ t
alfabet	ˈa l f a b ɛ t
alfågel	ˌɑː l ˈf oː ɡ ɛ l
alfågel	/ e n . w i k t i o n a r y . o r g
alförrädare	ˌɑː l f œ ˈɾ ɛː d a ɾ ɛ
alförrädare	/ e n . w i k t i o n a r y . o r g
alg	a l j
alg	/ e n . w i k t i o n a r y . o r g
algerier	a l ˈɧ eː r ɪ ɛ r
Algeriet	a l . ɧ ɛ . ˈr iː . ɛ t
algerisk	a l ˈɧ eː r ɪ s k
alkekung	ˌa l k ɛ ˈk ɵ ŋ
alkis	/ e n . w i k t i o n a r y . o r g
alkohol	ˈa l k ʊ ˌh oː l
alkohol	a l k ʊ ˈh oː l
alkohol	ʔ a l k o ˈh o l
alkohol	/ e n . w i k t i o n a r y . o r g
alkoholism	a l k ʊ h ʊ ˈl ɪ s m
alkoholist	a l k ʊ h ʊ ˈl ɪ s t
alla	ˈa l ˌa
alla	ˈa ɬ a
allemansrätt	ˈa lː ɛ ˌm a n s ˈr ɛ tː
allihop	ˈa l ɪ ˌh uː p
allihop	a l ɪ ˈh uː p
allihopa	ˈa l ɪ ˌh uː p a
allihopa	a l ɪ ˈh uː p a
allmän	ˈa l ˌm ɛ n
allmänbildning	ˈa l m ɛ n ˌb ɪ l d n ɪ ŋː
alltmer	a l t ˈm eː r
alltså	ˈa l t s ɔ
allvarlig	ˈa l ˌv ɑː r l ɪ ɡ
allé	a ˈl eː
allé	/ e n . w i k t i o n a r y . o r g
alpseglare	ˌa l p ˈs eː ɡ l a ɾ ɛ
alpseglare	/ e n . w i k t i o n a r y . o r g
altruism	ˌa l t r ɵ ˈɪ s m
aluminium	a l ɵ ˈm iː n ɪ ɵ m
Amanda	a ² m a n d a
ambitiös	a m b i ɧ øː s
ambitiös	/ e n . w i k t i o n a r y . o r g
Amerika	a ˈm eː r ɪ k a
Amerika	ʔ a ˌm e ɾ i ˈk a
Amerika	a ˈm e . ɾ i . k a
Amerika	a ˈm e . ɾ i . k a
amma	² a m a
amper	ˈa m p ɛ r
ampere	a m ˈp æː r
ampere	/ e n . w i k t i o n a r y . o r g
amurfalk	ɑː m ɵ r ˈf a l k
amurfalk	/ e n . w i k t i o n a r y . o r g
ana	² ɑː n a
ana	ˈa . n a
ana	ˈa . n a
ana	ˈa . n a
ana	à . n ã́
ana	à . n ã̄
ana	à . n ã̀
and	a n d
anden	ˈa nː d ɛ n
anden	ˈa nː ˌd ɛ n
anden	ˈa nː ˌd ɛ n
andetag	/ e n . w i k t i o n a r y . o r g
andlig	ˈa n d ˌl ɪ ɡ
andra	ˈa n ˌd r a
André	a n d ˈr eː
anfalla	ˈa n ˌf a lː a
ange	ˈa n ˌj eː
anka	ˈa ŋ ˌk a
Ankeborg	a ŋ k ɛ ˈb ɔ r j
anklagelse	a n ˈk l ɑː ɡ ɛ l s ɛ
Anna	² a n a
annons	a n ˈɔ n s
annons	a n ˈɔ ŋ s
anod	a ˈn oː d
anod	a ˈn uː d
anod	ˈʔ a n o d
anomali	a n ʊ m a ˈl iː
anomali	a . n ɔ . m a . l i
ansat	² a n s a t
ansatt	² a n s a t
ansikte	a nː s ɪ k t ə
anspråk	² a n s ˌp r oː k
ansvarig	² a n s ˌv ɑː r ɪ ɡ
antepenultima	a n t ɛ p ɛ n ˈɵ l t ɪ m a
antimon	a n t ɪ ˈm uː n
antimon	a n t ɪ ˈm oː n
antimon	/ e n . w i k t i o n a r y . o r g
antimon	/ e n . w i k t i o n a r y . o r g
antimon	/ e n . w i k t i o n a r y . o r g
antisemit	a n t ɪ s ɛ ˈm iː t
antisemit	/ e n . w i k t i o n a r y . o r g
antisemitisk	a n t ɪ s ɛ ˈm iː t ɪ s k
antisemitism	a n t ɪ s ɛ m ɪ ˈt ɪ s m
antyda	ˈa n ˌt yː d a
apa	ˈɑː ˌp a
apa	ˈʔ a p a
apa	ʔ a ˈp a ʔ
apa	ʔ a ˈp a ʔ
apa	à . k͡p à
apa	à . k͡p à
apa	à . k͡p à
apa	ā . k͡p á
apa	ā . k͡p á
apa	ā . k͡p á
apa	à . k͡p á
apa	à . k͡p á
apa	à . k͡p á
apelsinjuice	a p ɛ l ² s iː n j uː s
apelsinjuice	/ e n . w i k t i o n a r y . o r g
apotek	a p ʊ ˈt eː k
appellativ	² a p ɛ l a ˌt i v
april	a p ˈr iː l
april	a p ˈr ɪ l
april	a ˈp r ɪ l
arbetslös	ˈa r b eː t s ˌl øː s
arbus	ɑ r ˈb ʉː s
arg	a r j
arg	ˈaː r e
arg	ˈæː r ɪ
arg	ˈæ r ɡʲ
arg	ˈæ rː j
arg	/ e n . w i k t i o n a r y . o r g
argon	a r ˈɡ oː n
argon	/ e n . w i k t i o n a r y . o r g
argt	a r j t
Arkimedes	a r k ɪ ˈm eː d ɛ s
arkitekt	a r ɕ ɪ ˈt ɛ k t
arkitekt	a r k ɪ ˈt ɛ k t
arkiv	a r ˈk iː v
arr	a rː
arrangemang	a . r a n . ɧ e . ˈm a ŋ
arrangemang	/ e n . w i k t i o n a r y . o r g
arrangera	a r a n ˈɧ eː r a
arsel	ˈa r s ɛ l
arsenik	a r s ɛ ˈn iː k
arsenik	/ e n . w i k t i o n a r y . o r g
arton	² ɑː r t ɔ n
arv	a r v
arv	/ e n . w i k t i o n a r y . o r g
as	ɑː s
as	ɔ s
as	ɔ s
as	a s
as	ɔ s
aspig	² a s p ɪ ɡ
asturisk	a s ˈt ʉ r ɪ s k a
asturiska	a s ˈt ʉ r ɪ s k a
att	a tː
att	a t
att	ɔ
att	a tː
att	a t
att	ɑ t
att	ɑ tː
att	ɑ tː
att	ɔ
att	a tː
att	a t
att	ɑ t
att	ɑ tː
att	ɑ tː
att	a tː
att	a t
att	ɑ t
att	ɑ tː
att	ɑ tː
attack	a ˈt a k
attityd	a t ɪ ¹ t yː d
attityd	/ e n . w i k t i o n a r y . o r g
attityd	/ e n . w i k t i o n a r y . o r g
aubergin	ɔ b ɛ r ˈɕ ɪ n
aubergin	ɔ b ɛ r ˈɕ iː n
aubergine	ɔ b ɛ r ˈɕ ɪ n
aubergine	ɔ b ɛ r ˈɕ iː n
augusti	a ʊ̯ ˈɡ ɵ s t ɪ
